AccusedMasterID,CaseMasterID,AccusedName,AgeYear,GenderID,PersonID
220,84,Indrajit Iyengar,46,M,A1
221,85,Ranveer Dutta,58,M,A1
222,86,Hredhaan Toor,55,M,A1
223,86,Isaac Bajwa,22,F,A2
224,86,Darpan Koshy,50,M,A3
225,86,Dominic Mital,36,T,A4
226,87,Neha Pau,27,M,A1
227,87,Nandini Behl,29,M,A2
228,87,Janani Mani,57,F,A3
229,87,Libni Thaman,30,M,A4
230,88,Yashodhara Ratti,59,F,A1
231,88,Chakradev Barad,35,F,A2
232,89,Henry Krish,47,T,A1
233,89,Lohit Kade,50,M,A2
234,89,Aarav Nath,43,F,A3
235,89,Dominic Palla,50,M,A4
236,90,Dominic Palla,34,T,A1
237,90,Dominic Mital,52,T,A2
238,90,Siddharth Malhotra,29,F,A3
239,91,Anirudh Sastry,33,M,A1
240,91,Omya Doshi,26,T,A2
241,92,Ekta Sridhar,24,M,A1
242,93,Chanchal Kar,23,F,A1
243,93,Bhavya Johal,56,T,A2
244,93,Edhitha Srinivasan,44,F,A3
245,93,Anusha Mani,30,M,A4
246,94,Aahana Srinivas,60,M,A1
247,94,Saksham Yohannan,32,F,A2
248,94,Anita Devan,28,M,A3
249,94,Wriddhish Kibe,31,T,A4
250,95,Harish Devan,41,M,A1
251,95,Nakul Ray,59,M,A2
252,96,Parth Sahni,25,T,A1
253,97,Wakeeta Desai,36,M,A1
254,98,Aarini Grewal,52,M,A1
255,98,Geetika Merchant,48,F,A2
256,98,Parth Ravi,57,F,A3
257,98,Yutika Narang,49,T,A4
258,99,Sanya Loke,57,F,A1
259,99,Chasmum Apte,41,M,A2
260,99,Jagvi Keer,49,F,A3
261,100,Jeremiah Behl,48,T,A1
262,101,Ojasvi Sinha,28,T,A1
263,101,Yug Bumb,39,F,A2
264,101,Janaki Brahmbhatt,58,T,A3
265,102,Isaac Bajwa,53,M,A1
266,103,Dalbir Shere,54,F,A1
267,103,Anthony Randhawa,51,T,A2
268,103,Aarush Kamdar,58,T,A3
269,103,Chakradev Sampath,37,F,A4
270,104,Pranit Deshmukh,57,T,A1
271,104,Kavya Raja,35,F,A2
272,105,Maya Wadhwa,37,F,A1
273,106,Hiral Dubey,38,M,A1
274,106,Ranbir Chowdhury,58,T,A2
275,106,Oni Babu,20,T,A3
276,106,Samuel Bhavsar,53,T,A4
277,107,Karan Edwin,40,T,A1
278,107,Rayaan Barad,26,F,A2
279,108,Warjas Mittal,41,T,A1
280,108,Timothy Sachdev,33,F,A2
281,109,Eiravati Saha,55,F,A1
282,109,Manthan Mital,21,F,A2
283,109,Qarin Yogi,32,T,A3
284,109,Wridesh Kar,22,M,A4
285,110,Shivani Prabhakar,29,T,A1
286,110,Rayaan Behl,43,T,A2
287,110,Krishna Baral,39,T,A3
288,110,Raghav Kalla,28,T,A4
289,111,Siddharth Malhotra,53,T,A1
290,111,Indrajit Iyengar,54,M,A2
291,112,Lajita Shukla,25,M,A1
292,112,Darika Lal,59,T,A2
293,112,Yochana Tank,18,T,A3
294,113,Advika Sahni,30,F,A1
295,113,Michael Hayre,43,T,A2
296,114,Aarav Nath,25,T,A1
297,114,Indrajit Iyengar,21,M,A2
298,114,Siddharth Malhotra,57,M,A3
299,115,Nitara Devan,60,F,A1
300,115,Ekansh Dora,24,M,A2
301,115,Tejas Tiwari,36,T,A3
302,115,Kashvi Bhasin,42,M,A4
303,116,Karan Edwin,51,T,A1
304,116,Rayaan Barad,57,T,A2
305,117,Kiaan Dutta,19,F,A1
306,118,Farhan Prakash,42,F,A1
307,118,Tripti Kohli,48,M,A2
308,118,Charita Buch,28,M,A3
309,118,Girik Ravi,32,M,A4
310,119,Isaac Bajwa,43,F,A1
311,120,Maanas Rao,28,T,A1
312,120,Chandani Gaba,25,M,A2
313,120,Lopa Zachariah,25,T,A3
314,121,Isaac Bajwa,49,T,A1
315,121,Kiaan Dutta,18,T,A2
316,121,Qasim Divan,49,M,A3
317,122,Fitan Loyal,42,M,A1
318,123,Anamika Chaudry,49,T,A1
319,123,Gagan Grover,58,F,A2
320,123,Saumya Vala,49,M,A3
321,124,Frado Kibe,48,F,A1
322,124,Lajita Gara,20,T,A2
323,125,Veda Bose,56,M,A1
324,125,Zayan Koshy,37,T,A2
325,126,Aarav Nath,51,T,A1
326,126,Indrajit Iyengar,26,M,A2
327,126,Siddharth Malhotra,20,F,A3
328,127,Ekani Iyer,36,T,A1
329,127,Dipta Goel,33,M,A2
330,127,Eiravati Manne,22,F,A3
331,128,Jeremiah Behl,43,M,A1
332,128,Devansh Barman,60,F,A2
333,129,Jason Pingle,55,F,A1
334,129,Qabil Baral,45,T,A2
335,129,Ekalinga Lalla,39,T,A3
336,129,Indrajit Iyengar,33,M,A4
337,130,Yashawini Sahota,37,F,A1
338,130,Jagvi Yadav,40,M,A2
339,130,Ikbal Kothari,55,M,A3
340,131,Aarav Nath,59,M,A1
341,131,Indrajit Iyengar,27,T,A2
342,132,Jason Pingle,54,F,A1
343,132,Rayaan Barad,41,M,A2
344,132,Brijesh D’Alia,55,F,A3
345,133,Ekalinga Mital,36,T,A1
346,133,Ishwar Bajaj,57,M,A2
347,134,Qarin Grewal,54,T,A1
348,134,Meghana Balakrishnan,40,M,A2
349,134,Shivani Sanghvi,59,F,A3
350,134,Aayush Kala,25,M,A4
351,135,Lipika Ramanathan,38,T,A1
352,135,Ijaya Pandey,18,T,A2
353,135,Orinder Mishra,18,M,A3
354,136,Yasti Rama,21,F,A1
355,136,Lakshit Rajagopal,42,F,A2
356,137,Darpan Koshy,20,T,A1
357,138,Nilima Swamy,20,F,A1
358,138,Sachi Suresh,60,M,A2
359,138,Fitan Balasubramanian,37,T,A3
360,139,Kalpit Jayaraman,59,M,A1
361,139,Harsh Lalla,18,M,A2
362,140,Indrajit Iyengar,53,M,A1
363,140,Siddharth Malhotra,46,M,A2
364,140,Darpan Koshy,55,M,A3
365,140,Simon Chaudry,26,M,A4
366,141,Aarav Nath,57,F,A1
367,141,Indrajit Iyengar,52,T,A2
368,142,Jason Pingle,46,T,A1
369,143,Krishna Sabharwal,30,T,A1
370,143,Aradhana Date,40,F,A2
371,143,Zaid Dhingra,30,F,A3
372,143,Yug Ramaswamy,26,M,A4
373,144,Isaac Bajwa,50,M,A1
374,145,Warda Loyal,18,T,A1
375,145,Bhanumati Nazareth,22,F,A2
376,145,Vedhika Oza,39,T,A3
377,146,Chasmum Dutt,50,T,A1
378,146,Girik Patel,45,F,A2
379,147,Kevin Kara,52,M,A1
380,148,Qasim Divan,28,T,A1
381,148,Aarav Nath,28,T,A2
382,148,Ojas Sabharwal,52,F,A3
383,149,Kiaan Dutta,37,M,A1
384,149,Kalpit Jayaraman,43,T,A2
385,149,Dominic Palla,32,F,A3
386,149,Hredhaan Toor,40,M,A4
387,150,Tanay Doshi,45,T,A1
388,150,Saanvi Kalla,44,M,A2
389,150,Harish Dey,55,T,A3
390,150,Leena Panchal,23,M,A4
391,151,Zarna Upadhyay,33,M,A1
392,151,Manya Merchant,25,F,A2
393,152,Jasmit Gera,29,M,A1
394,153,Darpan Rao,25,M,A1
395,154,Jason Pingle,48,M,A1
396,154,Rayaan Barad,34,M,A2
397,155,Christopher More,48,F,A1
398,156,Idika Virk,37,T,A1
399,157,Karan Edwin,49,F,A1
400,157,Rayaan Barad,55,T,A2
401,157,Jason Pingle,35,T,A3
402,157,Yuvraj Shah,43,F,A4
403,158,Jagat Gaba,25,F,A1
404,159,Omaja Nagarajan,21,M,A1
405,159,Faras Pradhan,55,M,A2
406,159,Yadavi Ben,26,F,A3
407,160,Jyoti Iyer,42,F,A1
408,161,Matthew Ahuja,54,T,A1
409,162,Jason Pingle,45,F,A1
410,162,Karan Edwin,38,M,A2
411,163,Kashish Shanker,20,T,A1
412,163,Girish Tiwari,49,M,A2
413,163,Meera Borde,21,M,A3
414,164,Falan Jain,34,T,A1
415,164,Ikbal Dugal,21,F,A2
416,165,Jason Pingle,37,M,A1
417,165,Qabil Baral,28,F,A2
418,165,Ekalinga Lalla,58,F,A3
419,166,Farhan Sarma,59,M,A1
420,166,Harsh Lalla,56,T,A2
421,166,Parth Mody,44,F,A3
422,167,Chandani Lad,32,T,A1
423,167,Azaan Ravel,31,M,A2
424,167,Zaid Chandra,35,F,A3
425,167,Harsh Dey,49,F,A4
426,168,Aashi Borde,40,T,A1
427,168,Dhruv Hora,60,T,A2
428,168,Kabir Chanda,20,M,A3
429,169,Lavanya Sandhu,28,F,A1
430,169,Irya Kala,49,M,A2
431,169,Anvi Mammen,53,T,A3
432,170,Darsh Chahal,54,T,A1
433,170,Leela Devan,55,M,A2
434,171,Aarav Nath,21,T,A1
435,171,Tanay Andra,22,T,A2
436,172,Karan Edwin,41,T,A1
437,172,Rayaan Barad,29,F,A2
438,172,Jason Pingle,58,F,A3
439,172,Jatin Khosla,23,M,A4
440,173,Dominic Palla,38,T,A1
441,174,Jason Pingle,30,M,A1
442,175,Peter Naik,49,F,A1
443,175,Anthony Divan,19,F,A2
444,176,Rajeshri Sur,28,F,A1
445,176,Owen Parikh,30,F,A2
446,176,Parth Radhakrishnan,40,F,A3
447,177,Eesha Kant,19,F,A1
448,177,Watika Dhaliwal,34,F,A2
449,177,Faras Khanna,28,M,A3
450,178,Dominic Palla,46,T,A1
451,178,Dominic Mital,49,T,A2
452,178,Siddharth Malhotra,24,M,A3
453,179,Indrajit Iyengar,43,M,A1
454,180,Keya Dyal,26,T,A1
455,181,Baljiwan Dixit,56,M,A1
456,181,Harsh Lalla,40,F,A2
457,181,Isaac Bajwa,36,T,A3
458,182,Baghyawati Mishra,58,F,A1
459,182,Gopal Bawa,46,T,A2
460,182,Vritti Dube,49,T,A3
461,182,Jalsa Aggarwal,44,M,A4
462,183,Indrajit Iyengar,22,M,A1
463,183,Siddharth Malhotra,44,F,A2
464,183,Darpan Koshy,54,F,A3
465,183,Madhav Bumb,54,F,A4
466,184,Sanaya Basu,19,M,A1
467,184,Ria Shroff,60,T,A2
468,185,Omya Wason,28,M,A1
469,185,Warinder Soni,57,F,A2
470,186,Jonathan Basak,26,F,A1
471,187,Aarav Nath,37,M,A1
472,188,Hitesh Chaudhuri,49,F,A1
473,188,Hemangini Roy,52,M,A2
474,189,Vaishnavi Luthra,49,F,A1
475,189,Anmol Nazareth,20,F,A2
476,189,Deepa Mand,49,T,A3
477,190,Isaac Bajwa,49,F,A1
478,190,Kiaan Dutta,51,M,A2
479,190,Qasim Divan,32,M,A3
480,191,Dominic Mukhopadhyay,39,T,A1
481,191,Krishna Viswanathan,33,M,A2
482,192,Rushil Mahal,45,T,A1
483,193,Dominic Palla,55,F,A1
484,194,Isaac Bajwa,47,T,A1
485,194,Kiaan Dutta,39,T,A2
486,194,Qasim Divan,54,F,A3
487,195,Samuel Luthra,41,M,A1
488,195,Yochana Bahri,19,M,A2
489,195,Urvi Deo,30,F,A3
490,196,Ikshita Sharaf,45,T,A1
491,196,Tejas Shukla,33,M,A2
492,196,Mekhala Chaudry,57,T,A3
493,196,Yasti Prasad,30,T,A4
494,197,Ekta Malhotra,42,T,A1
495,197,Chanchal Guha,28,F,A2
496,198,Chakrika Lad,24,M,A1
497,199,Onkar Golla,47,T,A1
498,199,Gunbir Sinha,47,F,A2
499,200,Kamya Lad,54,T,A1
500,200,Ubika Dalal,56,T,A2
501,201,Odika Bhagat,18,M,A1
502,202,Karan Edwin,56,M,A1
503,202,Rayaan Barad,51,F,A2
504,202,Jason Pingle,54,F,A3
505,202,Nakul Gole,47,F,A4
506,203,Nathan Suri,44,F,A1
507,204,Aarav Nath,52,T,A1
508,205,Karan Edwin,19,M,A1
509,205,Rayaan Barad,39,M,A2
510,206,Dhruv Bath,35,T,A1
511,206,Bina Shah,57,F,A2
512,206,Radha Desai,20,M,A3
513,206,Vrishti Parmer,31,F,A4
514,207,Keya Kumer,57,M,A1
515,207,Chanakya Chokshi,21,M,A2
516,208,Osha Chaudhuri,58,M,A1
517,208,Laksh Sahota,22,F,A2
518,208,Yasti Dalal,22,M,A3
519,208,Ishaan Cherian,21,T,A4
520,209,Karan Edwin,34,F,A1
521,209,Isaac Bajwa,47,F,A2
522,209,Jason Pingle,47,F,A3
523,209,Aayush Mistry,42,T,A4
524,210,Devansh Barman,60,T,A1
525,210,Banjeet Saini,27,F,A2
526,211,Jagvi Munshi,23,M,A1
527,211,Jack Chandran,58,T,A2
528,211,Aditya Devi,40,M,A3
529,212,Aarav Nath,42,M,A1
530,212,Indrajit Iyengar,35,M,A2
531,213,Nathaniel Chawla,26,M,A1
532,213,Vasudha Sarma,56,M,A2
533,213,Ladli Parmer,51,F,A3
534,213,Kalpit Subramanian,33,F,A4
535,214,Isaac Bajwa,25,F,A1
536,214,Kiaan Dutta,60,T,A2
537,214,Qasim Divan,33,M,A3
538,214,Tarak Kothari,31,M,A4
539,215,Indrajit Iyengar,55,M,A1
540,216,Dominic Palla,27,T,A1
541,216,Dominic Mital,60,T,A2
542,216,Siddharth Malhotra,20,T,A3
543,216,Peter Ray,38,F,A4
544,217,Gavin Modi,36,F,A1
545,217,Tanmayi Om,30,T,A2
546,217,Chatura Kapoor,53,F,A3
547,217,Garima Solanki,24,M,A4
548,218,Isha Manne,58,T,A1
549,218,Hitesh Bath,43,M,A2
550,218,Waida Dey,20,M,A3
551,219,Aarav Nath,52,M,A1
552,219,Indrajit Iyengar,43,T,A2
553,220,Tanvi Thaman,45,T,A1
554,220,Wishi Agrawal,18,M,A2
555,220,Rachita Subramanian,37,M,A3
556,221,Omya Kothari,28,F,A1
557,221,Mitali Oza,47,M,A2
558,221,Sneha Deol,34,T,A3
559,222,Karan Edwin,32,F,A1
560,222,Rayaan Barad,24,M,A2
561,222,Jason Pingle,29,T,A3
562,223,Chatresh Bhalla,40,F,A1
563,223,Amara Dyal,50,F,A2
564,223,Zashil Dhingra,35,F,A3
565,223,Chakrika Jani,51,T,A4
566,224,Dhriti Bhagat,51,T,A1
567,224,Zayan Jain,56,M,A2
568,224,Umang Pillai,56,F,A3
569,225,Oscar Varkey,59,T,A1
570,225,Krishna Baria,20,F,A2
571,225,Arya Lalla,57,F,A3
572,225,Naveen Kumer,21,F,A4
573,226,Indrajit Iyengar,45,M,A1
574,226,Siddharth Malhotra,40,T,A2
575,226,Darpan Koshy,30,M,A3
576,226,Yatan Parmar,30,F,A4
577,227,Timothy Kala,33,T,A1
578,227,Garima Patel,27,T,A2
579,227,Tejas Wali,50,M,A3
580,228,Jagat Gaba,25,F,A1
581,228,Jagdish Lanka,41,F,A2
582,228,Karan Edwin,40,T,A3
583,229,Jason Pingle,30,T,A1
584,230,Gopal Ganesh,26,F,A1
585,230,Dominic Kade,20,T,A2
586,231,Chatura Gokhale,20,T,A1
587,231,Ekavir Kari,33,F,A2
588,231,Nikita Rama,20,T,A3
589,232,Ishita Thakkar,55,M,A1
590,232,Bimala Mitra,42,T,A2
591,232,Baghyawati Sarma,34,T,A3
592,233,Maanas Misra,43,M,A1
593,233,Advay Dhaliwal,51,M,A2
594,233,Benjamin Ahluwalia,18,T,A3
595,233,Frederick Mody,24,F,A4
596,234,Peter Ray,27,M,A1
597,235,Vidhi Narayanan,27,T,A1
598,235,Kabir Keer,37,T,A2
599,235,Bhavani Boase,36,F,A3
600,236,Diya Sangha,44,T,A1
601,236,Aayush Munshi,58,F,A2
602,236,Timothy Sarin,26,T,A3
603,237,Parth Bumb,26,M,A1
604,237,Logan Yohannan,27,F,A2
605,238,Manthan Pau,59,M,A1
606,239,William Gandhi,53,T,A1
607,240,Banjeet Kanda,53,M,A1
608,241,Karan Edwin,48,T,A1
609,241,Rayaan Barad,20,F,A2
610,242,Adya Ghosh,23,F,A1
611,242,Kritika Pau,24,F,A2
612,242,Zansi Krishnamurthy,38,M,A3
613,243,Faraj Varkey,27,M,A1
614,243,Siddharth Doctor,36,F,A2
615,244,Jason Pingle,38,T,A1
616,244,Qabil Baral,20,T,A2
617,244,Ekalinga Lalla,42,M,A3
618,244,Indrajit Iyengar,41,F,A4
619,245,Manan Bhalla,42,M,A1
620,245,Aarna Gole,53,T,A2
621,245,Anirudh Mander,30,M,A3
622,245,Tarak Sen,60,T,A4
623,246,Dominic Palla,50,M,A1
624,246,Dominic Mital,49,T,A2
625,246,Siddharth Malhotra,47,F,A3
626,247,Yamini Saini,31,M,A1
627,248,Jason Pingle,27,F,A1
628,248,Rayaan Barad,51,T,A2
629,248,Qasim Bassi,56,F,A3
630,248,Ishwar Subramaniam,39,M,A4
631,249,Viraj Chacko,55,M,A1
632,250,Dominic Palla,34,M,A1
633,251,Mohammed Sandhu,18,M,A1
634,251,Advika Wason,51,T,A2
635,251,Jasmit Majumdar,34,M,A3
636,251,Samar Sachdev,30,T,A4
637,252,Mitali Devi,56,T,A1
638,252,Victor Sekhon,35,F,A2
639,252,Harish Kala,57,M,A3
640,252,Hamsini Ben,56,F,A4
641,253,Fariq Barad,32,T,A1
642,253,Nandini Verma,22,F,A2
643,253,Dakshesh Gill,36,T,A3
644,253,Reva Anne,31,T,A4
645,254,Karan Edwin,20,T,A1
646,254,Rayaan Barad,51,M,A2
647,254,Jason Pingle,39,T,A3
648,255,Gautam Mane,52,M,A1
649,255,Idika Malhotra,21,F,A2
650,256,Yahvi Menon,23,F,A1
651,257,Jackson Kuruvilla,35,F,A1
652,257,Lavanya Kannan,28,T,A2
653,258,Jason Pingle,43,M,A1
654,258,Qabil Baral,56,F,A2
655,258,Ekalinga Lalla,51,T,A3
656,258,Indrajit Iyengar,49,T,A4
657,259,Jason Pingle,60,F,A1
658,259,Rayaan Barad,45,F,A2
659,259,Peter Kamdar,19,M,A3
660,259,Gavin Gupta,34,M,A4
661,260,Hredhaan Dar,19,M,A1
662,260,Waida Ahuja,44,M,A2
663,260,Vasatika Prabhu,60,M,A3
664,261,Yadavi Palan,27,F,A1
665,262,Rachit Lall,27,T,A1
666,262,Amruta Sinha,30,F,A2
667,263,Ati Seshadri,45,M,A1
668,263,Karan Karnik,26,T,A2
669,263,Anamika Keer,46,T,A3
670,263,Lakshmi Hayre,38,T,A4
671,264,Zansi Walla,39,T,A1
672,264,Vidhi Mital,24,F,A2
673,264,Champak Rao,54,F,A3
674,265,Jagvi Kurian,48,M,A1
675,266,Sanya Brar,27,M,A1
676,267,Edhitha Manne,37,F,A1
677,267,Megha Madan,22,T,A2
678,268,Wahab Krishnamurthy,22,M,A1
679,268,Shivansh Ganesan,57,F,A2
680,268,Harshil Chandran,25,M,A3
681,268,Urvashi Bhagat,22,F,A4
682,269,Dayamai Karnik,39,M,A1
683,269,Bhanumati Savant,59,T,A2
684,269,Karan Vyas,49,M,A3
685,269,Ayush Banerjee,31,T,A4
686,270,Gaurav Sathe,34,T,A1
687,271,Abhiram Swamy,37,M,A1
688,271,Chandani Andra,19,M,A2
689,272,Megha Krish,52,T,A1
690,272,Madhavi Radhakrishnan,20,M,A2
691,272,Adya Buch,33,M,A3
692,272,Wriddhish Varughese,22,M,A4
