ComplainantID,CaseMasterID,ComplainantName,AgeYear,OccupationID,ReligionID,CasteID,GenderID
81,81,Farhan Krishna,31,4,5,3,2
82,82,Chasmum Subramanian,41,8,1,5,1
83,83,Dhriti Nagar,43,1,4,3,2
84,84,Eiravati Khurana,33,4,3,3,2
85,85,Leena Sahota,21,5,2,3,1
86,86,Wishi Morar,23,1,2,3,1
87,87,Warda Singhal,57,7,5,5,1
88,88,Jagat Dave,40,5,5,2,2
89,89,Urvi Venkataraman,51,1,5,5,2
90,90,Chandani Soman,21,4,5,3,2
91,91,Urvi Lanka,57,2,2,4,2
92,92,Nirja Thaker,57,3,5,2,2
93,93,Oscar Sharaf,63,7,2,4,2
94,94,Megha Pai,45,8,2,3,2
95,95,Viraj Ben,47,1,2,5,2
96,96,Vansha Iyengar,57,4,4,4,1
97,97,Balhaar Ranganathan,26,5,1,4,1
98,98,Anjali Hans,31,4,5,3,1
99,99,Qasim Dey,62,4,4,5,1
100,100,Udyati Mohanty,45,8,2,5,2
101,101,Theodore Deol,41,6,5,4,2
102,102,David Tiwari,27,4,3,1,1
103,103,Jackson Jha,21,6,3,4,2
104,104,Darpan Biswas,64,7,4,2,2
105,105,Keya Buch,37,5,2,4,1
106,106,Aarush Bajaj,43,8,2,1,1
107,107,Sanya Bava,41,3,5,1,1
108,108,Logan Thakur,37,5,5,3,2
109,109,Parth Sane,30,1,2,1,2
110,110,Ubika Bhardwaj,52,4,5,2,2
111,111,Chavvi Aurora,57,1,5,2,2
112,112,Xavier Jayaraman,60,5,1,5,2
113,113,Ekaja Jani,24,8,5,1,2
114,114,Yatan Tata,58,8,5,2,2
115,115,Triveni Ganguly,35,3,1,3,1
116,116,Vinaya Babu,43,1,5,3,1
117,117,Bhavini Badal,68,3,5,2,2
118,118,Wridesh Handa,57,4,2,1,2
119,119,Daksh Andra,25,8,4,1,1
120,120,Anika Batra,45,6,4,1,1
121,121,Farhan Tella,45,5,3,4,2
122,122,Shravya Swaminathan,22,2,4,2,1
123,123,Lopa Nadig,55,2,4,5,2
124,124,Gaurav Pandya,38,6,1,1,2
125,125,Amrita Tailor,55,6,3,1,1
126,126,Rohan Shankar,70,8,5,2,1
127,127,Forum Sarraf,36,2,1,5,1
128,128,Xavier Nanda,55,3,1,4,1
129,129,Avi Shenoy,69,5,5,4,2
130,130,Pallavi Purohit,47,5,4,5,2
131,131,Ojas Basu,49,3,2,5,2
132,132,Sanaya Prasad,30,7,5,1,2
133,133,Ijaya Muni,70,5,3,2,1
134,134,Nitesh Kohli,21,6,1,2,1
135,135,Harsh Yadav,40,5,3,1,2
136,136,Krish Munshi,35,5,4,1,2
137,137,Oscar Ganesan,64,5,1,1,1
138,138,Chatresh Parmer,40,5,4,1,1
139,139,Brinda Bali,70,8,5,2,1
140,140,Warhi Vaidya,39,4,1,5,1
141,141,Chameli Bali,30,1,5,2,2
142,142,Noah Dewan,66,1,5,2,1
143,143,Om Naik,56,8,1,4,1
144,144,Oeshi Prashad,66,4,2,3,2
145,145,Girik Shanker,61,5,2,4,1
146,146,Chakradhar Chaudhary,54,4,2,3,1
147,147,Noah Ben,23,2,2,3,1
148,148,Aditya Anand,38,3,3,2,2
149,149,Ekavir Karnik,39,3,1,5,2
150,150,Luke Biswas,41,6,3,4,1
151,151,Logan Kota,33,1,1,2,2
152,152,Warda Raju,29,1,3,3,2
153,153,Anay Bir,25,4,2,5,1
154,154,Pallavi Ratti,27,4,2,1,2
155,155,Dayita Sarkar,25,1,5,2,1
156,156,Jagdish Arora,50,6,3,5,1
157,157,Ojas Prabhu,26,3,4,4,1
158,158,Xalak Ganesan,61,8,4,2,2
159,159,Januja Rajagopal,49,3,5,1,2
160,160,Nandini Biswas,39,1,4,4,2
161,161,Xavier Shetty,35,1,3,5,2
162,162,Viraj Pal,55,8,2,4,2
163,163,Lucky Mammen,46,1,2,2,2
164,164,Radhika De,34,2,3,3,2
165,165,Unnati Murthy,63,6,1,5,1
166,166,Jagdish Chana,67,1,2,4,1
167,167,Manbir Chand,24,6,2,5,1
168,168,Tristan De,43,7,5,3,1
169,169,Jason Basak,26,6,1,2,2
170,170,Bakhshi Korpal,65,3,1,3,1
171,171,Anirudh Raja,24,8,4,4,2
172,172,Ayushman Mand,61,2,3,5,1
173,173,Theodore Rama,61,5,3,3,1
174,174,Waida More,29,8,4,4,2
175,175,Vanya Acharya,68,8,2,4,2
176,176,Indrajit Vora,52,1,4,5,2
177,177,Joshua Goel,27,3,2,2,2
178,178,Oliver Chakrabarti,47,8,1,1,1
179,179,Chanakya Raju,70,7,4,4,2
180,180,Nicholas Seth,44,8,2,5,2
181,181,Hamsini Subramanian,42,5,5,3,1
182,182,Naksh Bera,22,7,2,4,1
183,183,Varsha Iyengar,28,7,1,3,2
184,184,Darika Rao,64,1,5,3,1
185,185,David Dora,24,2,1,5,1
186,186,Bakhshi Thakkar,48,7,1,4,1
187,187,Saksham Divan,19,1,4,3,2
188,188,Oni Chowdhury,63,3,1,5,2
189,189,Urvashi Barad,42,4,4,1,1
190,190,Vedant Desai,63,5,5,4,1
191,191,Niharika Sundaram,46,1,5,3,2
192,192,Oscar Hans,62,1,5,1,2
193,193,Yashasvi Ranganathan,41,7,4,5,2
194,194,Peter Som,51,1,4,3,1
195,195,Gautam Mane,30,1,3,1,1
196,196,Udarsh Krishnan,52,7,1,1,1
197,197,Chanchal Chokshi,36,7,5,1,1
198,198,Dakshesh Raval,47,4,3,1,2
199,199,Lipika Banik,44,1,4,5,1
200,200,Qadim Nayak,45,7,4,5,2
201,201,Urmi Hayer,31,2,4,3,1
202,202,Laksh Iyer,56,4,5,4,2
203,203,Gaurangi Goel,59,5,1,2,2
204,204,Kai Saraf,24,4,4,2,2
205,205,Kashvi Atwal,22,1,1,4,1
206,206,Upkaar Padmanabhan,25,6,3,2,1
207,207,Netra Bahl,20,8,4,5,1
208,208,Chanakya D’Alia,33,6,3,2,1
209,209,Adya Virk,47,7,5,5,2
210,210,Watika Johal,67,7,3,3,2
211,211,Harrison Kunda,31,7,2,4,2
212,212,Falguni Parmar,31,1,2,2,2
213,213,Tanmayi Magar,34,6,4,4,1
214,214,Nisha Sastry,43,5,5,2,1
215,215,Manthan Bhagat,33,2,3,4,2
216,216,Chandresh Tripathi,52,4,1,4,1
217,217,Diya Dani,38,3,1,5,2
218,218,Sneha Comar,25,6,4,2,1
219,219,Hredhaan Kumar,56,8,3,1,1
220,220,Hamsini Chokshi,60,3,1,5,2
221,221,Oscar Dave,54,4,5,3,2
222,222,Dipta Kalla,62,7,1,3,1
223,223,Jack Pandey,19,3,2,2,2
224,224,Jagrati Sethi,50,2,4,1,1
225,225,Rishi Menon,37,5,4,3,2
226,226,Mohammed Baral,42,7,2,5,2
227,227,Thomas Gour,51,1,2,1,2
228,228,Ishwar Pal,20,4,1,1,2
229,229,Libni Kunda,34,5,2,5,2
230,230,Yoshita Trivedi,42,8,1,4,1
231,231,Panini Chawla,29,4,5,1,2
232,232,Rachita Mutti,58,5,3,1,1
233,233,Urvi Dugar,29,3,4,5,1
234,234,Siddharth Sachar,40,8,2,2,1
235,235,Elijah Mannan,26,6,1,1,1
236,236,Vedika Seshadri,46,5,2,1,2
237,237,Krish Narula,26,1,3,3,1
238,238,Faqid Bahl,28,3,4,2,2
239,239,Krish Shetty,29,5,1,5,2
240,240,Sanaya Dutta,34,5,2,5,1
241,241,Dev Lalla,67,7,3,2,1
242,242,Chakradhar Baral,58,2,2,5,2
243,243,Zaitra Ravi,42,6,3,1,2
244,244,Jagat Karpe,57,8,2,4,1
245,245,Nirja Bains,29,4,3,4,2
246,246,Vasatika Garde,45,3,5,4,1
247,247,Sudiksha Biswas,24,1,5,4,1
248,248,Peter Soni,69,4,5,3,2
249,249,Inaya Chaudhari,67,5,5,2,2
250,250,Aarini Gulati,24,3,1,5,1
251,251,Keya Jha,38,1,2,5,1
252,252,Praneel Prabhakar,62,5,4,1,2
253,253,Gavin Dhillon,42,3,3,1,1
254,254,Robert Bandi,56,7,2,5,1
255,255,Anya Ratta,33,1,1,2,1
256,256,Suhani Raval,52,4,5,4,2
257,257,Yochana Kurian,32,6,3,4,1
258,258,Diya Sachar,22,8,3,3,1
259,259,Yuvraj Mani,30,8,3,2,1
260,260,Wahab Khurana,35,6,4,1,2
261,261,Anvi Swaminathan,36,5,2,1,2
262,262,Tanvi Dara,50,5,1,4,2
263,263,Jasmit Gour,35,3,4,5,1
264,264,Urvashi Andra,27,7,1,4,2
265,265,Darpan Kale,26,2,2,2,1
266,266,Jairaj Panchal,49,5,3,1,2
267,267,Ubika Dhillon,51,4,3,5,2
268,268,Shravya Sachdev,50,8,3,2,1
269,269,Fiyaz Chawla,56,1,1,2,1
270,270,Vamakshi Sibal,23,3,3,1,1
271,271,Abha Dugal,57,2,5,4,1
272,272,Vihaan Amble,40,7,1,2,1
273,273,Bhavani Wali,22,6,4,5,2
274,274,Max Bawa,43,7,4,1,1
275,275,Kamya Sheth,34,5,3,5,2
276,276,Jairaj Kothari,33,3,2,5,1
277,277,Rushil Sharma,39,6,4,1,2
278,278,Isaiah Keer,55,7,5,1,1
279,279,Mohammed Prabhu,62,3,5,3,2
280,280,Darpan Parekh,47,7,4,4,2
281,281,Reva Hans,43,6,2,2,1
282,282,Ranveer Grover,48,5,1,1,2
283,283,Chakrika Lall,37,3,2,1,1
284,284,Indrajit Char,63,7,2,4,2
285,285,Agastya Joshi,26,6,2,5,1
286,286,Zilmil Chatterjee,69,8,1,2,2
287,287,Yamini Nazareth,46,2,2,4,2
288,288,Jagvi Sethi,28,7,5,4,1
289,289,Girindra Barad,19,5,1,4,2
290,290,Mugdha Kalla,63,2,5,4,2
291,291,Charita Barad,69,4,2,1,1
292,292,Utkarsh Apte,32,3,3,2,2
293,293,Vamakshi Bawa,21,5,3,1,1
294,294,Megha Hayre,62,6,2,5,2
295,295,Dalaja Gara,69,1,2,3,2
296,296,Isaiah Bhagat,56,7,2,5,1
297,297,Siddharth Jani,53,3,1,4,2
298,298,Hritik Bahl,48,1,2,2,1
299,299,Anthony Baral,50,1,2,5,1
300,300,Andrew Palan,27,7,4,1,2
301,301,Laksh Chahal,46,1,4,3,1
302,302,Pooja Muni,63,4,5,5,2
303,303,Samaksh Devi,36,3,3,5,1
304,304,Ayushman Nagar,28,8,4,2,1
305,305,Kashvi Gour,45,5,3,3,1
306,306,Nidhi Barman,20,7,5,5,1
307,307,Ikbal Seth,52,8,4,1,2
308,308,Bhavika Shenoy,45,6,2,2,2
309,309,Zansi Dhar,56,5,2,5,1
310,310,Jatin Chand,42,1,4,1,2
311,311,Nicholas Dhillon,23,3,5,3,1
312,312,Abdul Tak,51,8,5,3,2
313,313,Yash Mall,29,4,4,2,1
314,314,Tamanna Parsa,46,7,3,5,1
315,315,Ekansh Sane,39,7,2,2,2
316,316,Kai Taneja,20,7,1,5,2
317,317,Odika Bath,60,6,4,5,2
318,318,Baghyawati Kumar,39,4,2,2,2
319,319,Parth Hari,67,4,1,4,2
320,320,Dominic Dixit,27,3,2,4,1
321,321,Wazir Prabhu,67,3,2,1,1
322,322,Yashawini Bakshi,64,7,3,5,1
323,323,Zaitra Deo,39,1,5,4,2
324,324,Arin Muni,33,8,1,1,2
325,325,Samuel Palla,28,7,2,3,1
326,326,Sachi Bedi,32,8,2,3,2
327,327,Gaurangi Hora,61,8,4,4,1
328,328,Isaiah Panchal,41,8,4,5,1
329,329,Hredhaan Nanda,68,6,4,3,1
330,330,Radhika Oommen,44,2,2,1,1
331,331,Aadi Din,54,4,4,2,2
332,332,Imaran Manda,48,8,4,5,2
333,333,Eesha Raja,31,4,5,2,1
334,334,Vaishnavi Dewan,44,4,2,3,1
335,335,Krish Apte,64,3,5,2,2
336,336,Tamanna Sandal,34,6,2,2,2
337,337,Leena Pant,69,5,1,5,1
338,338,Vasudha Pillay,50,4,5,5,1
339,339,Udyati Varughese,45,1,4,4,2
340,340,Upasna Setty,37,5,1,1,2
341,341,Bhavini Sundaram,44,7,2,3,1
342,342,Isaac Ghosh,19,1,4,5,1
343,343,Warinder Sundaram,37,3,4,3,1
344,344,Oliver Kade,27,4,2,2,1
345,345,Advik Mani,34,3,4,3,1
346,346,Dhriti Anne,26,3,4,1,1
347,347,Teerth Dara,58,7,2,3,2
348,348,Chaitaly Sibal,43,4,4,4,2
349,349,Pranav Sastry,65,1,3,5,1
350,350,Vyanjana Chopra,30,1,1,2,1
351,351,Ekavir Krishna,24,8,1,1,2
352,352,Vasatika Dara,46,3,2,5,1
353,353,Madhavi Chhabra,62,7,5,1,1
354,354,Xalak Walla,67,3,5,3,1
355,355,Vrinda Bahl,46,1,3,3,1
356,356,Gunbir Shan,20,2,1,3,2
357,357,Ekta Dara,41,6,1,4,2
358,358,Lohit Sagar,33,4,2,2,2
359,359,Bhanumati Saha,35,7,1,3,2
360,360,Shravya Sabharwal,58,2,1,1,1
361,361,Janaki Zacharia,36,1,5,4,1
362,362,Chatura Patla,70,1,1,5,2
363,363,Oni Issac,67,3,1,3,1
364,364,Chatura Sarin,50,3,1,3,1
365,365,Samaksh Nayak,32,5,4,5,2
366,366,Thomas Merchant,34,8,1,3,2
367,367,Manthan Ahluwalia,49,8,2,1,2
368,368,Gautam Babu,51,4,2,1,1
369,369,Ucchal Agarwal,70,4,2,4,2
370,370,Faris Nayak,68,7,1,2,2
371,371,Samarth Devi,38,8,5,4,2
372,372,Kashish Pai,31,6,5,5,2
373,373,Upma Wali,54,7,1,1,1
374,374,Watika Dora,61,1,1,1,2
375,375,Vedika Wagle,25,1,2,3,2
376,376,Neel Khanna,62,4,1,4,1
377,377,Xalak Dhillon,63,1,3,1,2
378,378,Darika Bakshi,26,8,5,3,1
379,379,Rohan Bajaj,43,3,1,3,2
380,380,Tanveer Sawhney,60,5,4,2,1
381,381,Dominic Prashad,40,4,3,5,1
382,382,Oeshi Gill,67,4,1,5,2
383,383,Chasmum Modi,59,6,5,2,2
384,384,Janaki Srivastava,44,7,2,4,2
385,385,Aashi Gaba,50,2,2,1,1
386,386,Yoshita Hari,48,5,2,5,1
387,387,Harsh Kamdar,46,7,1,5,2
388,388,Varsha Pall,40,3,1,2,1
389,389,Jeremiah Kadakia,68,1,4,5,2
390,390,Upasna Dani,19,7,1,1,2
391,391,Ijaya Pandey,65,5,2,3,2
392,392,Jeevika Goyal,61,5,1,3,1
393,393,Jalsa Mani,61,8,5,4,2
394,394,Upkaar Reddy,40,7,1,5,2
395,395,Jhalak Gola,45,2,3,3,1
396,396,Jagdish Dhar,29,4,4,1,2
397,397,Mugdha Parekh,26,4,2,1,1
398,398,Suhani Chokshi,61,4,2,2,2
399,399,Unnati Jaggi,68,4,4,4,1
400,400,Nitesh Swamy,65,7,3,3,1
401,401,Ira Mane,66,4,2,3,1
402,402,Jeevika Palla,63,6,3,4,1
403,403,Indali Bhalla,28,2,2,4,2
404,404,Geetika Gara,57,4,4,4,1
405,405,Edhitha Purohit,30,4,2,2,1
406,406,Ojas Mistry,24,6,2,5,1
407,407,Champak Mishra,37,8,5,1,1
408,408,Prisha Kadakia,28,5,5,2,2
409,409,Amrita Walia,59,5,2,5,2
410,410,Charita Saran,38,5,1,4,1
411,411,Ucchal Sunder,58,1,3,1,2
412,412,Patrick Basak,23,2,5,5,2
413,413,Jason Munshi,57,2,1,5,2
414,414,Nilima Kumar,53,7,1,3,1
415,415,Zehaan Rajagopalan,46,3,4,5,1
416,416,Reva Nadig,57,1,5,3,1
417,417,Sachi Deshpande,31,2,2,2,2
418,418,Zaitra De,52,3,5,1,2
419,419,Baghyawati Issac,54,8,4,1,1
420,420,Chandran Rattan,61,4,5,3,1
421,421,Akshay Vora,65,6,2,3,2
422,422,Ranbir Sahota,33,2,2,3,2
423,423,Ekiya Rao,32,8,1,5,2
424,424,Abdul Kulkarni,50,3,1,2,2
425,425,Avni Patel,52,3,1,3,1
426,426,Diya Swamy,39,7,4,5,1
427,427,Tanvi Tailor,30,4,5,4,2
428,428,Om Trivedi,60,3,2,3,1
429,429,Varsha Setty,55,2,3,4,1
430,430,Wriddhish Rastogi,67,8,3,3,1
431,431,Jai Misra,38,2,3,3,2
432,432,Jagrati Char,43,2,5,5,2
433,433,Jyoti Grewal,51,3,3,5,1
434,434,Ubika Kapur,52,4,4,5,1
435,435,Nitara Chandra,22,7,1,1,1
436,436,Alka Om,44,1,5,2,2
437,437,Abdul Rana,65,7,3,5,1
438,438,Raghav Bala,47,8,1,2,1
439,439,Ojas Dua,41,4,3,5,2
440,440,Balhaar Sura,19,7,4,1,1
441,441,Omisha Solanki,21,5,5,2,2
442,442,Harinakshi Sidhu,41,7,1,1,1
443,443,Vasudha Dayal,33,3,2,3,1
444,444,Andrew Parmer,46,3,2,3,2
445,445,Devansh Nazareth,37,6,5,3,2
446,446,Isha Batra,46,3,1,3,1
447,447,Yashawini Tara,35,1,5,3,2
448,448,Ojasvi Ahuja,66,5,5,5,1
449,449,Ayushman Savant,24,8,1,5,2
450,450,Dipta Padmanabhan,57,7,1,1,1
